name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
JOSE CUERVO RESERVA DE LA FAMILIA REPOSADO,TEQUILA REPOSADO,"HEAVY-TOASTED AMERICAN OAK, LIGHTLY-TOASTED AMERICAN OAK, AND LIGHTLY-TOASTED FRENCH OAK","JALISCO, MEXICO",NAS,40.0,4,JOSE CUERVO ,8,3.97,FRUITY & HERBAL,JAKE EMEN,86,30,0,30,70,40,60,50,40,10,20,0,30,70,20
ABRE OJOS REPOSADO,TEQUILA REPOSADO,AMERICAN OAK,"JALISCO, MEXICO",NAS,40.0,2,ABRE OJOS ,1,4.25,FRUITY,JACK ROBERTIELLO,86,5,25,20,20,15,20,30,25,20,10,20,20,30,10
CÓDIGO 1530 AÑEJO TEQUILA,TEQUILA AÑEJO,EX-NAPA CABERNET SAUVIGNON FRENCH WHITE OAK BARRELS,"JALISCO, MEXICO",NAS,40.0,4,CÓDIGO 1530 ,42,4.3,SWEET & FRUITY,COLIN HOWARD,86,50,20,80,60,75,20,70,85,45,40,10,70,80,60
LA CAVA DE DON SAMUEL TEQUILA REPOSADO,TEQUILA REPOSADO,"EX-BOURBON, OTHER UNSPECIFIED OAK","JALISCO, MEXICO",NAS,40.0,2,LA CAVA DE DON SAMUEL ,1,3.0,SWEET & RICH,AMANDA SCHUSTER,86,10,10,40,50,5,5,60,60,10,0,10,20,40,0
MEZCAL MARQUÉS REPOSADO,MEZCAL REPOSADO,AMERICAN OAK,"GUANAJUATO, MEXICO",NAS,40.0,3,HACIENDA JARAL DE BERRIO ,5,4.0,FRUITY & RICH,AMANDA SCHUSTER,86,15,15,50,30,5,5,60,40,5,5,10,0,60,0
MUCHA LIGA CANIBAL REPOSADO TEQUILA,TEQUILA REPOSADO,EX-BOURBON,"JALISCO, MEXICO",NAS,40.0,2,MUCHA LIGA ,7,4.79,SWEET & RICH,AMANDA SCHUSTER,86,15,10,35,10,10,5,70,70,0,0,0,10,50,15
TEQUILA REGIONAL BLANCO,TEQUILA BLANCO,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,TEQUILA REGIONAL ,unknown,unknown,EARTHY & MINERAL,KELLEY SLAGLE,86,15,70,25,15,0,40,10,50,60,0,0,0,15,10
MILAGRO SELECT BARREL RESERVE REPOSADO TEQUILA,TEQUILA REPOSADO,FRENCH AND AMERICAN OAK BARRELS,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,MILAGRO ,28,3.73,HERBAL,KATRINA NIEMISTO,86,5,20,20,30,10,0,10,25,20,0,10,0,15,5
EL DIAMANTE DEL CIELO AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,2,4.38,SWEET,RON BECHTOL,86,20,20,30,25,10,5,30,30,5,5,15,5,25,20
EL DIAMANTE DEL CIELO REPOSADO TEQUILA,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,2,unknown,2,4.5,HERBAL,RON BECHTOL,86,20,15,35,40,10,5,25,30,5,5,10,5,30,25
ROCA PATRÓN REPOSADO TEQUILA,TEQUILA REPOSADO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,42.0,3,PATRÓN ,38,4.02,SWEET,STEPHANIE MORENO,86,15,25,50,15,20,20,45,50,10,10,0,20,35,0
TEQUILA PUEBLO VIEJO AÑEJO,TEQUILA AÑEJO,AMERICAN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA PUEBLO VIEJO ,9,3.97,RICH & SPICY,DUNCAN MCROBERTS,86,50,55,85,80,75,50,90,80,40,65,60,50,80,45
CRUZ DEL SOL AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,4,4.63,SWEET & RICH,BROCK SCHULTE,86,30,80,78,68,75,45,85,88,70,40,60,45,83,79
RIAZUL AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,59,4.11,FRUITY & SWEET,AMANDA SCHUSTER,86,0,10,40,20,20,0,80,80,0,0,0,10,80,0
OLMECA ALTOS PLATA TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,1,OLMECA ALTOS ,213,3.63,HERBAL & FRUITY,DANIEL DJANG,86,15,56,30,68,10,10,15,60,52,51,15,10,63,20
TEQUILA AMATE SILVER,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,4,3.67,MINERAL & SPICY,BROCK SCHULTE,86,40,82,85,84,78,40,70,64,87,80,81,35,55,82
BLUE NECTAR REPOSADO EXTRA BLEND TEQUILA,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,2,unknown,9,3.81,RICH,AMANDA SCHUSTER,86,25,10,40,5,10,0,60,50,10,0,0,0,30,0
EL JIMADOR BLANCO TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,1,unknown,158,3.25,FRUITY & EARTHY,DISTILLER STAFF,86,0,75,35,36,60,48,20,50,15,0,42,35,80,22
