abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
43.0,5,2,4.0,92,0,10,30,10,10,0,40,30,10,0,10,0,20,0,False,False,False,False,False,False,False,True,False,False
42.0,5,9,4.36,92,0,10,50,30,20,10,40,10,40,10,10,10,20,0,False,False,False,False,False,False,False,True,False,False
49.9,4,20,4.37,92,95,70,50,70,60,75,65,25,75,70,90,80,35,40,False,True,False,False,False,False,False,False,False,False
49.0,4,26,4.16,92,25,30,25,30,25,5,30,30,20,15,25,5,30,30,False,True,False,False,False,False,False,False,False,False
46.0,4,25,4.25,92,65,80,50,90,60,40,70,60,50,55,50,45,70,10,False,False,False,True,False,False,False,False,False,False
40.0,3,180,4.36,92,30,50,60,45,15,25,60,65,35,30,10,30,70,55,False,False,False,False,False,False,False,False,False,True
47.0,4,1,4.0,92,40,40,10,70,25,25,45,70,60,20,10,50,80,35,False,True,False,False,False,False,False,False,False,False
47.0,4,4,4.31,92,50,75,45,65,40,45,90,75,60,70,15,40,85,25,False,True,False,False,False,False,False,False,False,False
40.0,4,703,4.48,92,10,10,60,30,5,10,70,65,5,0,0,15,20,0,False,False,False,False,False,True,False,False,False,False
40.0,5,4,2.75,92,62,55,64,21,44,70,77,50,42,19,60,0,32,32,True,False,False,False,False,False,False,False,False,False
51.1,3,38,4.15,92,78,21,20,64,44,50,12,62,32,20,63,32,73,29,False,True,False,False,False,False,False,False,False,False
46.0,3,26,4.03,92,15,15,30,60,30,5,70,40,5,25,0,0,40,35,False,True,False,False,False,False,False,False,False,False
40.0,3,16,4.3,92,52,60,30,62,15,10,35,68,25,30,40,10,65,30,False,False,False,False,False,False,False,False,False,True
40.0,2,189,3.99,92,32,46,67,70,45,61,55,70,34,20,50,45,55,60,False,False,False,False,False,True,False,False,False,False
43.0,2,5,4.7,92,50,85,65,70,40,10,65,50,45,20,40,10,65,30,False,False,False,False,False,False,True,False,False,False
40.0,2,113,3.92,92,30,30,50,40,10,5,70,60,0,0,5,0,40,0,False,False,False,False,False,False,False,False,False,True
40.0,3,281,4.07,92,42,64,70,68,60,42,80,74,44,20,68,22,84,28,False,False,False,False,False,True,False,False,False,False
40.0,1,243,3.48,92,0,55,38,55,58,72,50,74,35,0,80,60,70,28,False,False,False,False,False,False,False,False,False,True
40.0,2,118,4.21,92,15,50,20,85,25,10,70,75,70,30,15,30,50,20,False,False,False,False,False,False,True,False,False,False
40.0,2,12,4.57,92,10,60,50,75,30,10,70,80,70,50,20,60,40,50,False,False,False,False,False,False,True,False,False,False
40.0,4,2,5.0,92,45,50,35,65,65,20,40,60,75,70,10,20,40,70,False,False,False,False,False,True,False,False,False,False
45.0,3,12,4.65,92,10,0,50,30,10,0,60,40,0,5,0,15,60,0,False,False,False,False,False,True,False,False,False,False
40.0,2,38,3.68,92,5,20,20,30,5,0,40,60,5,10,0,10,60,15,False,False,False,False,False,False,False,False,False,True
41.0,2,30,3.8,92,40,25,35,15,10,10,20,60,10,5,35,0,65,0,False,True,False,False,False,False,False,False,False,False
40.0,3,19,4.22,92,40,55,50,60,75,10,65,85,25,20,30,20,75,25,False,False,False,False,False,True,False,False,False,False
40.0,3,4,4.19,92,68,62,75,85,65,40,87,88,83,87,67,60,74,70,False,False,False,False,False,True,False,False,False,False
40.0,3,7,3.96,92,10,10,30,60,15,55,35,50,25,15,30,40,65,10,False,False,False,False,False,False,True,False,False,False
40.0,2,17,4.18,92,0,20,50,40,0,10,70,30,40,10,0,30,60,10,False,False,False,False,False,False,True,False,False,False
40.0,3,6,4.21,92,30,60,25,40,0,5,60,30,20,0,0,10,30,10,False,False,False,False,False,False,False,False,False,True
40.0,2,610,4.07,92,15,10,50,35,15,10,70,65,10,10,0,20,15,0,False,False,False,False,False,False,False,False,False,True
40.0,2,4,4.38,91,20,40,30,85,10,15,55,20,10,10,0,20,15,0,False,False,False,False,False,False,True,False,False,False
40.0,2,4,3.88,91,20,40,50,40,50,70,50,40,80,20,20,50,80,30,False,False,False,False,False,False,True,False,False,False
40.0,4,2,4.38,91,4,10,25,20,5,0,40,50,5,0,0,5,15,0,False,False,False,False,False,False,False,False,False,True
45.0,3,2,4.38,91,0,0,20,80,0,20,40,35,15,0,20,20,25,25,False,False,False,False,False,False,True,False,False,False
40.0,3,1,4.75,91,5,15,25,20,10,0,60,50,5,5,0,10,30,5,False,False,False,False,False,True,False,False,False,False
40.0,2,11,4.23,91,0,25,20,15,0,5,40,50,15,5,0,15,60,30,False,False,False,False,False,False,True,False,False,False
40.0,3,14,4.17,91,5,0,55,10,15,0,55,85,45,55,20,5,65,5,False,False,False,False,False,True,False,False,False,False
40.0,3,90,3.89,91,0,30,25,25,25,0,20,20,20,20,40,10,25,10,False,False,False,False,False,False,True,False,False,False
45.0,4,13,4.38,91,90,99,50,30,45,45,80,70,25,30,80,0,65,0,False,True,False,False,False,False,False,False,False,False
45.0,4,7,3.46,91,80,60,45,65,40,25,90,75,15,70,40,20,70,0,False,True,False,False,False,False,False,False,False,False
47.0,4,11,4.05,91,70,60,20,60,0,40,0,50,40,0,28,0,40,10,False,True,False,False,False,False,False,False,False,False
48.0,4,20,4.52,91,10,10,20,20,50,10,40,30,20,10,10,10,20,0,False,True,False,False,False,False,False,False,False,False
40.0,2,64,3.96,91,65,55,55,70,20,10,45,45,55,45,65,10,60,45,False,True,False,False,False,False,False,False,False,False
51.0,5,7,4.75,91,65,65,60,65,30,25,60,60,60,65,80,10,75,70,False,True,False,False,False,False,False,False,False,False
40.0,3,101,3.97,91,5,25,25,35,45,15,45,45,10,10,0,20,45,0,False,False,False,False,False,False,False,False,False,True
47.0,4,5,3.95,91,60,30,70,55,30,35,75,60,45,75,10,60,85,10,False,True,False,False,False,False,False,False,False,False
40.0,3,287,4.25,91,0,15,40,55,25,20,70,75,20,15,10,30,35,10,False,False,False,False,False,True,False,False,False,False
40.0,5,75,4.58,91,55,35,50,25,75,25,60,85,70,80,30,60,90,60,False,False,False,False,False,False,False,False,True,False
45.0,4,10,4.02,91,72,67,61,78,52,15,62,65,60,56,61,15,64,76,False,True,False,False,False,False,False,False,False,False
40.0,4,3,3.25,91,30,60,70,35,45,35,90,90,20,35,55,15,85,30,False,False,False,False,False,False,False,True,False,False
40.0,2,12,4.56,91,20,65,60,30,30,25,90,85,5,40,45,10,50,30,False,False,False,False,False,True,False,False,False,False
40.0,2,2,3.0,91,11,26,78,74,19,64,22,68,34,20,6,51,78,28,False,False,False,False,False,False,True,False,False,False
40.0,3,3,4.42,91,35,65,60,70,25,10,20,55,20,15,10,10,60,60,False,False,False,False,False,True,False,False,False,False
40.0,2,34,4.19,91,45,81,77,77,74,60,69,72,83,68,74,65,75,88,False,False,False,False,False,False,True,False,False,False
43.0,2,9,4.17,91,5,20,20,40,50,15,40,30,25,20,5,35,75,0,False,False,False,False,False,False,True,False,False,False
46.8,2,61,4.0,91,65,50,15,45,30,20,35,15,35,25,15,50,25,25,False,True,False,False,False,False,False,False,False,False
53.0,3,8,4.44,90,0,45,45,85,20,25,60,30,20,0,10,20,20,0,False,False,False,False,False,False,True,False,False,False
40.0,5,4,4.63,90,30,50,30,65,15,30,40,30,15,15,20,10,15,0,False,False,False,False,False,True,False,False,False,False
40.0,4,5,3.15,90,0,15,30,65,10,35,35,40,35,10,0,45,65,0,False,False,False,False,False,False,True,False,False,False
43.0,3,4,4.56,90,30,70,10,85,0,20,50,10,15,0,10,20,20,0,False,False,False,False,True,False,False,False,False,False
